Column a,Column b,Column c
Total,70,
Video,3,The video clearly demostrated the execution of project. The platform used to record the video has the facility of captions which makes it easily understandable.  ( https://github.com/Team-Glare/calorieApp_server )   ( https://ncsu.zoom.us/rec/share/CNF2zaJt9LmGBn8Th5oQkC5gRwh7CtANJ4T3ss__BUTH0_77HYDxxvDYIEJ-xry0.7LsEsX3jtU2T1Q_9?startTime=1638606669000 )
Workload is spread over the whole team ,2,evidence in GH commit history ( https://github.com/Team-Glare/calorieApp_server/commits/main ) 
"but nevertheless, here is a track record that everyone is contributing a lot)",2,evidence in GH commit history ( https://github.com/Team-Glare/calorieApp_server/commits/main ) 
Number of commits,2,Therea are a total of 205 commits ( https://github.com/Team-Glare/calorieApp_server/commits/main )
Number of commits: by different people,2,evidence in GH commit history ( https://github.com/Team-Glare/calorieApp_server/commits/main )
Issues reports: there are many,2,There are 8 open issues currently in the code ( https://github.com/Team-Glare/calorieApp_server#readme )
Issues are being closed,3,"7 issues are closed, evidence in GH ( https://github.com/Team-Glare/calorieApp_server#readme )"
DOI badge: exists,3,DOI badge exists ( https://github.com/Team-Glare/calorieApp_server#readme )
"Docs: doco generated, format not ugly",3,"From the doc in GH: Styling is good, the documentation is crisp and up to the mark ( https://github.com/Team-Glare/calorieApp_server/tree/main/docs )"
Docs: what: point descriptions of each class/function (in isolation),2,From the doc in GH: Each function used is explained in a clear and precised manner. ( https://github.com/Team-Glare/calorieApp_server/tree/main/docs )
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,There are minitutorials showing examples for some of the use cases.
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",1,From the doc in GH: The document is not so captivating ( https://github.com/Team-Glare/calorieApp_server#readme )
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,evidence in GH:  ( https://github.com/Team-Glare/calorieApp_server )
Use of version control tools,3,This project has well structured repository and informative commit messages.  ( https://github.com/Team-Glare/calorieApp_server )
Use of style checkers,3,Super Linter in Github actions ( https://github.com/Team-Glare/calorieApp_server )
Use of code formatters.,3,Super Linter in Github actions ( https://github.com/Team-Glare/calorieApp_server )
Use of syntax checkers.,3,Super Linter in Github actions ( https://github.com/Team-Glare/calorieApp_server )
Use of code coverage,3,The code coverage is 98%  ( https://app.codecov.io/gh/Team-Glare/calorieApp_server )
Other automated analysis tools,3,Super Linter in Github actions ( https://github.com/Team-Glare/calorieApp_server )
Test cases exist,3,Test cases were included in a file in the project direectory. ( https://github.com/Team-Glare/calorieApp_server )
Test cases are routinely executed,2,Most of the required basic test cases were added.
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,1,It mainly focused on bug reports and code of conduct rather than code analysis
Issues are discussed before they are closed,1,In Github
Chat channel: exists,1,There is no discussions tab in Git hub
Test cases: a large proportion of the issues related to handling failing cases.,1,Most of the test cases are generic
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,In Github ( https://github.com/Team-Glare/calorieApp_server )
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,In Github ( https://github.com/Team-Glare/calorieApp_server )
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,In Github ( https://github.com/Team-Glare/calorieApp_server )
Evidence that the members of the team are working across multiple places in the code base,3,In Github ( https://github.com/Team-Glare/calorieApp_server )
Short release cycles,3,In Github ( https://github.com/Team-Glare/calorieApp_server )
"Does your website and documentation provide a clear, high-level overview of your software?",Y,
Does your website and documentation clearly describe the type of user who should use your software?,Y,
Do you publish case studies to show how your software has been used by yourself and others?,Y,
Is the name of your project/software unique?,N,
Is your project/software name free from trademark violations?,N,
Is your software available as a package that can be deployed without building it?,N,
Is your software available for free?,Y,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Y,
Is your documentation clearly available on your website or within your software?,Y,
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Y,
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Y,
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Y,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,N,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Y,
Do you store your documentation under revision control with your source code?,Y,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Y,
Does your software describe how a user can get help with using your software?,Y,
"Does your website and documentation describe what support, if any, you provide to users and developers?",Y,
Does your project have an e-mail address or forum that is solely for supporting users?,N,
Are e-mails to your support e-mail address received by more than one person?,N,
Does your project have a ticketing system to manage bug reports and feature requests?,N,
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",N,
Is your software’s architecture and design modular?,Y,
Does your software use an accepted coding standard or convention?,Y,
Does your software allow data to be imported and exported using open data formats?,Y,
Does your software allow communications using open communications protocols?*,Y,
Is your software cross-platform compatible?,Y,
Does your software adhere to appropriate accessibility conventions or standards?,Y,
Does your documentation adhere to appropriate accessibility conventions or standards?,Y,
Is your source code stored in a repository under revision control?,Y,
Is each source code release a snapshot of the repository?,N,
Are releases tagged in the repository?,Y,
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Y,
Do you back-up your repository?,Y,
Do you provide publicly-available instructions for building your software from the source code?,Y,
"Can you build, or package, your software using an automated tool?",Y,
Do you provide publicly-available instructions for deploying your software?,Y,
Does your documentation list all third-party dependencies?,Y,
Does your documentation list the version number for all third-party dependencies?,N,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Y,
Can you download dependencies using a dependency management tool or package manager?,Y,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Y,
Do you have an automated test suite for your software?,N,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,N,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",N,
Are your test results publicly visible?,Y,
Are all manually-run tests documented?,Y,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",N,
Does your website state how many projects and users are associated with your project?,Y,
Do you provide success stories on your website?,N,
Do you list your important partners and collaborators on your website?,Y,
Do you list your project's publications on your website or link to a resource where these are available?,Y,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,N,
Can users subscribe to notifications to changes to your source code repository?,N,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Y,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Y,
Do you have a contributions policy?,Y,
Is your contributions' policy publicly available?,N,
Do contributors keep the copyright/IP of their contributions?,N,
Does your website and documentation clearly state the copyright owners of your software and documentation?,Y,
Does each of your source code files include a copyright statement?,Y,
Does your website and documentation clearly state the licence of your software?,Y,
Is your software released under an open source licence?,Y,
Is your software released under an OSI-approved open-source licence?,Y,
Does each of your source code files include a licence header?,Y,
Do you have a recommended citation for your software?,Y,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Y,
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",N,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",N,
