Column a,Column b,Column c
Total,74,
Video,3,The video is elaborative and overall functionalities are clearly demonstrated (https://www.youtube.com/watch?v=3RQS-bFaeNo ) 
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,2,evidence in GH commit history ( https://github.com/hrushabhchouhan/SRIJAS2.0/commits/main)
"but nevertheless, here is a track record that everyone is contributing a lot)",,
Number of commits,2,There are a total of 390 commits ( https://github.com/hrushabhchouhan/SRIJAS2.0/commits/main)
Number of commits: by different people,2,evidence in GH commit history ( https://github.com/hrushabhchouhan/SRIJAS2.0/commits/main)
Issues reports: there are many,2,There are 5 open issues currently in the code ( https://github.com/hrushabhchouhan/SRIJAS2.0#readme )
Issues are being closed,3,5 issues are closed ( https://github.com/hrushabhchouhan/SRIJAS2.0#readme )
DOI badge: exists,3,DOI badge exists ( https://github.com/hrushabhchouhan/SRIJAS2.0#readme )
"Docs: doco generated, format not ugly",1,There is no single proper documention 
Docs: what: point descriptions of each class/function (in isolation),2,There is a description about each function but not at a single place
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",1,There is no single proper documention 
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,The punchlines used are very catchy 
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,The animated video on how the app works is attractive and catchy ( https://www.youtube.com/watch?v=2PqOaFu9pPU )
Use of version control tools,3,"This project uses version control, its repository is well organised, and the commit messages are detailed."
Use of style checkers,3,https://github.com/hrushabhchouhan/SRIJAS2.0/blob/main/.github/workflows/style_checker.yml
Use of code formatters.,3,https://github.com/hrushabhchouhan/SRIJAS2.0/blob/main/.github/workflows/code_formatter.yml
Use of syntax checkers.,3,https://github.com/hrushabhchouhan/SRIJAS2.0/blob/main/.github/workflows/main.yml
Use of code coverage,3,https://github.com/hrushabhchouhan/SRIJAS2.0/blob/main/.github/workflows/code_cov.yml
Other automated analysis tools,3,There are two additional automated analysis tools 1. Close as a feature (https://github.com/hrushabhchouhan/SRIJAS2.0/blob/main/.github/workflows/close_as_a_feature.yml) 2. Respost- adding comment to new issue events (https://github.com/hrushabhchouhan/SRIJAS2.0/blob/main/.github/workflows/Respost.yml)
